2020-07-16 17:43:32.511 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration(308) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseTest], using SpringBootContextLoader
2020-07-16 17:43:38.411 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses(235) - Found @SpringBootConfiguration CSCI5308.GroupFormationTool.GroupFormationToolApplication for test class CSCI5308.GroupFormationTool.CoursesTest.CourseUserRelationshipTest
2020-07-16 17:43:38.415 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(248) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-16 17:43:38.419 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners(177) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ca4dce5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1291aab5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7d133fb7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@40bd0f8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7eb27768, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@6169be09, org.springframework.test.context.event.EventPublishingTestExecutionListener@5e3db14, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5fb54740, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@325162e9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1ee40b5c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5c448ef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@703e8050, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@49c1e294]
2020-07-16 17:43:38.547 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration(308) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [CSCI5308.GroupFormationTool.CoursesTest.StudentCSVImportTest], using SpringBootContextLoader
2020-07-16 17:43:38.549 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations(264) - Could not detect default resource locations for test class [CSCI5308.GroupFormationTool.CoursesTest.StudentCSVImportTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-16 17:43:38.550 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses(83) - Could not detect default configuration classes for test class [CSCI5308.GroupFormationTool.CoursesTest.StudentCSVImportTest]: StudentCSVImportTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-16 17:43:38.552 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses(235) - Found @SpringBootConfiguration CSCI5308.GroupFormationTool.GroupFormationToolApplication for test class CSCI5308.GroupFormationTool.CoursesTest.StudentCSVImportTest
2020-07-16 17:43:38.559 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(248) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-16 17:43:38.562 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners(177) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7a3f08b6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1be52861, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5fb5ad40, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@615439f7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@632cf7d3, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@51b87df7, org.springframework.test.context.event.EventPublishingTestExecutionListener@2315052d, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@634e1b39, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@67d8faec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@751d7425, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7eaa2bc6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6dae70f9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4d81e83a]
2020-07-16 17:43:38.579 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration(308) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [CSCI5308.GroupFormationTool.CoursesTest.StudentCSVParserTest], using SpringBootContextLoader
2020-07-16 17:43:38.580 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations(264) - Could not detect default resource locations for test class [CSCI5308.GroupFormationTool.CoursesTest.StudentCSVParserTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-16 17:43:38.583 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses(83) - Could not detect default configuration classes for test class [CSCI5308.GroupFormationTool.CoursesTest.StudentCSVParserTest]: StudentCSVParserTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-16 17:43:38.588 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses(235) - Found @SpringBootConfiguration CSCI5308.GroupFormationTool.GroupFormationToolApplication for test class CSCI5308.GroupFormationTool.CoursesTest.StudentCSVParserTest
2020-07-16 17:43:38.592 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(248) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-16 17:43:38.598 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners(177) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@53a301f3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7cf8f45a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@62cf6a84, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@204d9edf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6b2aafbc, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@50cbcca7, org.springframework.test.context.event.EventPublishingTestExecutionListener@49491770, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5bec3e0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3b57dba4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@35f7969d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3404e5c4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@47569167, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@42d9e8d2]
2020-07-16 17:43:39.556 [main] INFO  C.G.P.DefaultPasswordValidationManager.<init>(21) - password=ValidationManager, action=Add Policies, status=Starting...
2020-07-16 17:43:39.557 [main] INFO  C.G.P.MinLengthValidation.<init>(18) - password=MinLengthPolicy, action=Create, status=Success
2020-07-16 17:43:39.557 [main] INFO  C.G.P.MaxLengthValidation.<init>(17) - password=MaxLengthPolicy, action=Create, status=Success
2020-07-16 17:43:39.557 [main] INFO  C.G.P.MinLowercaseValidation.<init>(16) - password=MinLowercasePolicy, action=Create, status=Success
2020-07-16 17:43:39.557 [main] INFO  C.G.P.MinUppercaseValidation.<init>(16) - password=MinUppercasePolicy, action=Create, status=Success
2020-07-16 17:43:39.558 [main] INFO  C.G.P.MinNonAlphaNumValidation.<init>(19) - password=MinNonAlphaNumPolicy, action=Create, status=Success
2020-07-16 17:43:39.558 [main] INFO  C.G.P.ForbiddenCharSetValidation.<init>(18) - password=ForbiddenCharSetPolicy, action=Create, status=Success
2020-07-16 17:43:39.558 [main] INFO  C.G.P.HistoryConstraintValidation.<init>(25) - password=HistoryConstraintPolicy, action=Create, status=Success
2020-07-16 17:43:39.559 [main] INFO  C.G.P.DefaultPasswordValidationManager.<init>(29) - password=ValidationManager, action=Add Policies, status=Done
2020-07-16 17:43:39.559 [main] INFO  C.G.P.DefaultPasswordValidationManager.getPasswordValidationFailures(53) - password=ValidationManager, action=Get Validity Messages, status=Starting...
2020-07-16 17:43:39.559 [main] INFO  C.G.P.MinLengthValidation.setMinLength(39) - password=MinLengthPolicy, action=Set Min Length, value=8
2020-07-16 17:43:39.559 [main] INFO  C.G.P.MinLengthValidation.isValidPassword(66) - password=MinLengthPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.560 [main] INFO  C.G.P.MaxLengthValidation.setMaxLength(38) - password=MaxLengthPolicy, action=Set Max Length, value=12
2020-07-16 17:43:39.560 [main] INFO  C.G.P.MaxLengthValidation.isValidPassword(69) - password=MaxLengthPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.560 [main] INFO  C.G.P.MinLowercaseValidation.setMinLowercase(37) - password=MinLowercasePolicy, action=Set Min Lowercase, value=2
2020-07-16 17:43:39.561 [main] INFO  C.G.P.MinLowercaseValidation.isValidPassword(74) - password=MinLowercasePolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.561 [main] INFO  C.G.P.MinUppercaseValidation.setMinUppercase(37) - password=MinUppercasePolicy, action=Set Min Uppercase, value=2
2020-07-16 17:43:39.561 [main] INFO  C.G.P.MinUppercaseValidation.isValidPassword(74) - password=MinUppercasePolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.562 [main] INFO  C.G.P.MinNonAlphaNumValidation.setMinNonAlphaNum(41) - password=MinNonAlphaNumPolicy, action=Set Min Non-AlphaNumeric, value=2
2020-07-16 17:43:39.562 [main] INFO  C.G.P.MinNonAlphaNumValidation.isValidPassword(81) - password=MinNonAlphaNumPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.562 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.563 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(64) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.564 [main] INFO  C.G.S.BCryptPasswordEncryption.<init>(15) - password=BcryptEncryption, action=Create Encoder, status=Success
2020-07-16 17:43:39.565 [main] INFO  C.G.P.HistoryConstraintValidation.setHistoryConstraint(46) - password=HistoryConstraintPolicy, action=Set History, value=0
2020-07-16 17:43:39.565 [main] INFO  C.G.P.HistoryConstraintValidation.isValidPassword(71) - password=HistoryConstraintPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.566 [main] INFO  C.G.P.DefaultPasswordValidationManager.getPasswordValidationFailures(60) - password=ValidationManager, action=Get Validity Messages, status=Done
2020-07-16 17:43:39.566 [main] INFO  C.G.P.DefaultPasswordValidationManager.getPasswordValidationFailures(53) - password=ValidationManager, action=Get Validity Messages, status=Starting...
2020-07-16 17:43:39.567 [main] INFO  C.G.P.MinLengthValidation.setMinLength(39) - password=MinLengthPolicy, action=Set Min Length, value=8
2020-07-16 17:43:39.567 [main] INFO  C.G.P.MinLengthValidation.isValidPassword(69) - password=MinLengthPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.568 [main] INFO  C.G.P.MinLengthValidation.setMinLength(39) - password=MinLengthPolicy, action=Set Min Length, value=8
2020-07-16 17:43:39.568 [main] INFO  C.G.P.MinLengthValidation.isValidPassword(69) - password=MinLengthPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.569 [main] INFO  C.G.P.MinLengthValidation.getValidationFailureMessage(82) - password=MinLengthPolicy, action=Get Validation Message, message=Password must have minimum length of 8.
2020-07-16 17:43:39.569 [main] INFO  C.G.P.MaxLengthValidation.setMaxLength(38) - password=MaxLengthPolicy, action=Set Max Length, value=12
2020-07-16 17:43:39.570 [main] INFO  C.G.P.MaxLengthValidation.isValidPassword(69) - password=MaxLengthPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.570 [main] INFO  C.G.P.MinLowercaseValidation.setMinLowercase(37) - password=MinLowercasePolicy, action=Set Min Lowercase, value=2
2020-07-16 17:43:39.571 [main] INFO  C.G.P.MinLowercaseValidation.isValidPassword(71) - password=MinLowercasePolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.573 [main] INFO  C.G.P.MinLowercaseValidation.setMinLowercase(37) - password=MinLowercasePolicy, action=Set Min Lowercase, value=2
2020-07-16 17:43:39.574 [main] INFO  C.G.P.MinLowercaseValidation.isValidPassword(71) - password=MinLowercasePolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.574 [main] INFO  C.G.P.MinLowercaseValidation.getValidationFailureMessage(87) - password=MinLowercasePolicy, action=Get Validation Message, message=Password must have minimum 2 lowercase letters.
2020-07-16 17:43:39.575 [main] INFO  C.G.P.MinUppercaseValidation.setMinUppercase(37) - password=MinUppercasePolicy, action=Set Min Uppercase, value=2
2020-07-16 17:43:39.575 [main] INFO  C.G.P.MinUppercaseValidation.isValidPassword(71) - password=MinUppercasePolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.576 [main] INFO  C.G.P.MinUppercaseValidation.setMinUppercase(37) - password=MinUppercasePolicy, action=Set Min Uppercase, value=2
2020-07-16 17:43:39.576 [main] INFO  C.G.P.MinUppercaseValidation.isValidPassword(71) - password=MinUppercasePolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.578 [main] INFO  C.G.P.MinUppercaseValidation.getValidationFailureMessage(87) - password=MinUppercasePolicy, action=Get Validation Message, message=Password must have minimum 2 uppercase letters.
2020-07-16 17:43:39.578 [main] INFO  C.G.P.MinNonAlphaNumValidation.setMinNonAlphaNum(41) - password=MinNonAlphaNumPolicy, action=Set Min Non-AlphaNumeric, value=2
2020-07-16 17:43:39.579 [main] INFO  C.G.P.MinNonAlphaNumValidation.isValidPassword(81) - password=MinNonAlphaNumPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.579 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.580 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.580 [main] INFO  C.G.P.ForbiddenCharSetValidation.setForbiddernCharSet(31) - password=ForbiddenCharSetPolicy, action=Set CharSet, value=\&"'
2020-07-16 17:43:39.581 [main] INFO  C.G.P.ForbiddenCharSetValidation.isValidPassword(60) - password=ForbiddenCharSetPolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.581 [main] INFO  C.G.P.ForbiddenCharSetValidation.getValidationFailureMessage(76) - password=ForbiddenCharSetPolicy, action=Get Validation Message, message=Password has forbidden characters "\&"'".
2020-07-16 17:43:39.582 [main] INFO  C.G.S.BCryptPasswordEncryption.<init>(15) - password=BcryptEncryption, action=Create Encoder, status=Success
2020-07-16 17:43:39.582 [main] INFO  C.G.P.HistoryConstraintValidation.setHistoryConstraint(46) - password=HistoryConstraintPolicy, action=Set History, value=0
2020-07-16 17:43:39.583 [main] INFO  C.G.P.HistoryConstraintValidation.isValidPassword(71) - password=HistoryConstraintPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.583 [main] INFO  C.G.P.DefaultPasswordValidationManager.getPasswordValidationFailures(60) - password=ValidationManager, action=Get Validity Messages, status=Done
2020-07-16 17:43:39.585 [main] INFO  C.G.P.DefaultPasswordValidationManager.<init>(21) - password=ValidationManager, action=Add Policies, status=Starting...
2020-07-16 17:43:39.585 [main] INFO  C.G.P.MinLengthValidation.<init>(18) - password=MinLengthPolicy, action=Create, status=Success
2020-07-16 17:43:39.586 [main] INFO  C.G.P.MaxLengthValidation.<init>(17) - password=MaxLengthPolicy, action=Create, status=Success
2020-07-16 17:43:39.586 [main] INFO  C.G.P.MinLowercaseValidation.<init>(16) - password=MinLowercasePolicy, action=Create, status=Success
2020-07-16 17:43:39.587 [main] INFO  C.G.P.MinUppercaseValidation.<init>(16) - password=MinUppercasePolicy, action=Create, status=Success
2020-07-16 17:43:39.587 [main] INFO  C.G.P.MinNonAlphaNumValidation.<init>(19) - password=MinNonAlphaNumPolicy, action=Create, status=Success
2020-07-16 17:43:39.587 [main] INFO  C.G.P.ForbiddenCharSetValidation.<init>(18) - password=ForbiddenCharSetPolicy, action=Create, status=Success
2020-07-16 17:43:39.588 [main] INFO  C.G.P.HistoryConstraintValidation.<init>(25) - password=HistoryConstraintPolicy, action=Create, status=Success
2020-07-16 17:43:39.588 [main] INFO  C.G.P.DefaultPasswordValidationManager.<init>(29) - password=ValidationManager, action=Add Policies, status=Done
2020-07-16 17:43:39.589 [main] INFO  C.G.P.DefaultPasswordValidationManager.isValidPassword(36) - password=ValidationManager, action=Check Password Validity, status=Starting...
2020-07-16 17:43:39.589 [main] INFO  C.G.P.MinLengthValidation.setMinLength(39) - password=MinLengthPolicy, action=Set Min Length, value=8
2020-07-16 17:43:39.590 [main] INFO  C.G.P.MinLengthValidation.isValidPassword(66) - password=MinLengthPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.590 [main] INFO  C.G.P.MaxLengthValidation.setMaxLength(38) - password=MaxLengthPolicy, action=Set Max Length, value=12
2020-07-16 17:43:39.591 [main] INFO  C.G.P.MaxLengthValidation.isValidPassword(69) - password=MaxLengthPolicy, action=Check Validity, status=Success
2020-07-16 17:43:39.591 [main] INFO  C.G.P.MinLowercaseValidation.setMinLowercase(37) - password=MinLowercasePolicy, action=Set Min Lowercase, value=2
2020-07-16 17:43:39.591 [main] INFO  C.G.P.MinLowercaseValidation.isValidPassword(71) - password=MinLowercasePolicy, action=Check Validity, status=Fail
2020-07-16 17:43:39.591 [main] INFO  C.G.P.DefaultPasswordValidationManager.isValidPassword(40) - password=ValidationManager, action=Check Password Validity, status=Failed
2020-07-16 17:43:39.591 [main] INFO  C.G.P.DefaultPasswordValidationManager.isValidPassword(36) - password=ValidationManager, action=Check Password Validity, status=Starting...
